,Property,Thing,Action,max_abs_coefficient
practice_x_caused,0.3094404176872468,-1.773503470946037,0.0140079627141357,1.773503470946037
short_x_human,-0.1010427886100858,-0.1613896568318475,1.3476504662693063,1.3476504662693063
long_x_short,-1.1528789304987137,0.1173612743164734,0.0123259703767172,1.1528789304987137
shape_x_benefit,-0.195250209158136,0.6279896412207209,-0.00452941959108,0.6279896412207209
near,-0.6161522117327246,0.2194900589077215,0.0,0.6161522117327246
practice_x_human,0.0216336688934268,-0.5605280295457359,0.4410103951289077,0.5605280295457359
short_x_consequential,-0.5359926132227507,0.0556989984487049,0.0,0.5359926132227507
shape_x_scene,-0.0666376099390989,0.5105117999244372,0.0,0.5105117999244372
small_x_drive,-0.3163837037771944,0.4994696509435159,0.0,0.4994696509435159
complexity_x_self,0.2356915307865423,-0.4963190581161218,0.0,0.4963190581161218
near_x_surprised,-0.4897919124038678,0.1571625080200765,0.0,0.4897919124038678
practice_x_attention,0.2144592751200783,-0.4781038238268156,0.0,0.4781038238268156
vision_x_benefit,0.0,0.4604710182770374,-0.1164271266730623,0.4604710182770374
near_x_consequential,-0.4049712360587651,0.0,0.008646774119879,0.4049712360587651
upperlimb_x_benefit,-0.1064098206575302,0.3942307485297346,-0.0269682419090997,0.3942307485297346
practice_x_self,0.0,-0.3793099338865815,0.3825514148190864,0.3825514148190864
practice,0.083363147964263,-0.3703635964850443,0.0435789832619288,0.3703635964850443
short,-0.3611121401784905,-0.0084912525914039,0.0571490046601245,0.3611121401784905
vision_sq,0.3572975968388908,-0.041992389030601,-0.1481679579672157,0.3572975968388908
short_x_social,-0.0857361074210031,0.3501181684431994,-0.0169558539470517,0.3501181684431994
short_x_self,-0.0405931659478214,-0.0650191623546485,0.3458772179657542,0.3458772179657542
toward_x_cognition,0.3426770700465224,-0.0828879604923405,-0.0576904211404971,0.3426770700465224
short_x_drive,-0.2082805662822845,0.3397446665116678,-0.0167186767997849,0.3397446665116678
complexity_x_cognition,0.3391325337656037,-0.0001237234866134,-0.1025003842600433,0.3391325337656037
practice_x_duration,0.0542808651156054,-0.3277710529105549,0.0203787175090701,0.3277710529105549
practice_x_unpleasant,0.0627246347377594,-0.3257979121437447,0.0,0.3257979121437447
path_x_consequential,-0.0084073279680796,-0.0168102783117449,0.3186363605078215,0.3186363605078215
practice_x_short,-0.0468029966828105,-0.0275032705177651,0.3178006307406078,0.3178006307406078
near_x_long,-0.3147942093025385,0.1675303120434936,0.0,0.3147942093025385
practice_x_sad,0.2015442217968243,-0.3042682080544643,-0.0157094254189784,0.3042682080544643
path_x_human,0.0,-0.0947575460782842,0.3012318665574734,0.3012318665574734
path_x_cognition,-0.0215924806977655,-0.0356122325632361,0.2890579171555651,0.2890579171555651
touch_x_duration,0.181846178846683,-0.268890948951197,0.0,0.268890948951197
speech_x_practice,0.2672345084662478,-0.0878313408514158,0.0,0.2672345084662478
vision_x_motion,-0.0218959911756285,0.2639363200246042,-0.077536126245968,0.2639363200246042
biomotion_x_path,0.0,-0.0748962481348703,0.2590523274766232,0.2590523274766232
short_x_benefit,-0.2337779632959519,0.258012751339505,-0.0024581549793317,0.258012751339505
color_x_weight,-0.1298952702853561,0.2562738871146067,0.0,0.2562738871146067
consequential_x_self,-0.2518147909563252,0.1931120695544488,0.0,0.2518147909563252
vision_x_near,-0.1481361032855274,0.2452995561184785,0.0,0.2452995561184785
biomotion_x_short,0.0,-0.0879545852874623,0.2403492910525581,0.2403492910525581
body_x_duration,0.1734319773267104,-0.2314450277773612,0.0,0.2314450277773612
short_x_cognition,-0.214906702069706,0.0266815580062492,0.0252462422198578,0.214906702069706
away_x_caused,-0.211203248512926,0.0238453348291424,0.0121140188995128,0.211203248512926
human_x_surprised,-0.1914358900356684,0.0,0.1812892930509549,0.1914358900356684
small_x_cognition,-0.1586926038396465,0.1874442035424029,0.0,0.1874442035424029
near_x_unpleasant,-0.1843421670326323,-0.0098718427599934,0.1698817780232134,0.1843421670326323
landmark_x_self,-0.06915337304313,0.0,0.1823287781022267,0.1823287781022267
body_x_social,-0.0368315482220844,0.1800265471081306,-0.026521917172658,0.1800265471081306
body_x_short,0.0260349016635181,-0.1792915367108517,0.0678627509705016,0.1792915367108517
shape_x_happy,-0.0012105754116499,0.1792882757242098,-0.0083021727540484,0.1792882757242098
motion_x_scene,-0.0663740686508131,0.1776134274401792,0.0,0.1776134274401792
shape_x_texture,-0.1767481695021009,0.1248250551464197,0.0,0.1767481695021009
practice_x_cognition,0.0274786647462934,-0.1757670650537322,0.0,0.1757670650537322
practice_x_long,-0.0097542969367496,-0.0379308265350149,0.174952053588342,0.174952053588342
shape_x_pleasant,-0.0210482835495008,0.1677503888618087,0.0,0.1677503888618087
time_x_human,0.0425389677194673,0.0600238741701362,-0.1668570505077902,0.1668570505077902
vision_x_self,0.1631731126020147,-0.072045403924775,0.0,0.1631731126020147
touch_x_consequential,0.0176061154462518,-0.1577355433491648,0.0550978395760099,0.1577355433491648
landmark_x_consequential,-0.156772942007264,0.0388594293177001,0.0,0.156772942007264
path,0.0,0.0,0.1563062848175253,0.1563062848175253
pattern_x_human,0.0,-0.0696745457550132,0.1561207983145964,0.1561207983145964
landmark_x_toward,-0.0183857882666549,-0.0182686844423584,0.1537871253880369,0.1537871253880369
vision_x_short,0.1514870031347125,0.0,-0.088230751699918,0.1514870031347125
face_x_practice,0.0872141753450606,-0.1513752153184474,0.0305013869240573,0.1513752153184474
shape_x_drive,0.0,0.1505514878045984,-0.0237514956952545,0.1505514878045984
slow_x_short,0.0,-0.0291587403152615,0.1497223201694943,0.1497223201694943
upperlimb_x_duration,0.0,0.1231926360084718,-0.1481792350912472,0.1481792350912472
body_x_practice,0.0782709643018535,-0.1479868837355587,0.0,0.1479868837355587
near_x_caused,-0.1469205201075869,0.0497297486309724,0.0,0.1469205201075869
biomotion_x_social,-0.0106104372363156,0.1437552245221065,-0.0218412121573182,0.1437552245221065
complexity_x_practice,0.1255404175712998,-0.1414227962010682,0.0,0.1414227962010682
small_x_consequential,-0.1404034344555934,0.0823021749641566,0.0,0.1404034344555934
biomotion_x_landmark,-0.0014539361720562,-0.0329969146135025,0.1367508936736868,0.1367508936736868
vision_x_texture,-0.042929419782148,0.1332934560892194,0.0,0.1332934560892194
weight_x_happy,-0.0302439420275156,0.1321105037860333,-0.0058516633967629,0.1321105037860333
slow_x_caused,0.0,-0.1311491745077478,0.0389600613332059,0.1311491745077478
practice_x_time,-0.0200422381344281,0.1253684749528861,-0.0672070867531294,0.1253684749528861
self_x_unpleasant,-0.1227786159506684,0.1237907453801615,0.0,0.1237907453801615
face_x_self,-0.0137698974595243,0.1220829344384573,-0.0929034957716907,0.1220829344384573
practice_x_fearful,0.0186776330114646,-0.1183701425019564,0.0,0.1183701425019564
body_x_landmark,0.0063502937835313,-0.1168154483151307,0.0402218820277898,0.1168154483151307
color_x_shape,-0.1144096007906791,0.0977382591280169,0.0,0.1144096007906791
body_x_time,0.0693745001158992,0.0,-0.1141841621762593,0.1141841621762593
lowerlimb_x_human,0.0,0.1122480431863984,-0.0809713734638401,0.1122480431863984
practice_x_landmark,-0.1110331475243794,0.0254203368509504,0.0,0.1110331475243794
body_x_touch,0.0972664703613112,-0.1096972217422995,0.0,0.1096972217422995
touch_x_cognition,0.0095230160099376,-0.1096306546843078,0.0130491585898087,0.1096306546843078
scene_x_self,0.1091937376045982,-0.0726721463681099,0.0,0.1091937376045982
upperlimb_x_drive,0.0,0.1074698956126958,-0.0450680662865086,0.1074698956126958
away_x_consequential,-0.1070252737800863,0.0123159559155402,0.0,0.1070252737800863
texture_x_scene,-0.1055066977571291,0.0,0.0066402377673728,0.1055066977571291
practice_x_arousal,0.0517135195363613,-0.1029823714011483,0.0,0.1029823714011483
path_x_caused,-0.0202334378071882,0.0,0.1028227731499586,0.1028227731499586
bright_x_weight,-0.0028088884487207,0.1017982591703023,-0.0115929404717769,0.1017982591703023
bright_x_shape,-0.0195438155137893,0.1016600651486519,-0.0064661242183229,0.1016600651486519
path_x_short,0.0,-0.0469130187822216,0.1007272693693506,0.1007272693693506
