model,class,feature,coefficient,abs_coefficient
elastic_net,Property,long_x_short,-1.1528789304987137,1.1528789304987137
elastic_net,Property,near,-0.6161522117327246,0.6161522117327246
elastic_net,Property,short_x_consequential,-0.5359926132227507,0.5359926132227507
elastic_net,Property,near_x_surprised,-0.4897919124038678,0.4897919124038678
elastic_net,Property,near_x_consequential,-0.4049712360587651,0.4049712360587651
elastic_net,Property,short,-0.3611121401784905,0.3611121401784905
elastic_net,Property,vision_sq,0.3572975968388908,0.3572975968388908
elastic_net,Property,toward_x_cognition,0.3426770700465224,0.3426770700465224
elastic_net,Property,complexity_x_cognition,0.33913253376560376,0.33913253376560376
elastic_net,Property,small_x_drive,-0.31638370377719444,0.31638370377719444
elastic_net,Property,near_x_long,-0.3147942093025385,0.3147942093025385
elastic_net,Property,practice_x_caused,0.30944041768724684,0.30944041768724684
elastic_net,Property,speech_x_practice,0.2672345084662478,0.2672345084662478
elastic_net,Property,consequential_x_self,-0.2518147909563252,0.2518147909563252
elastic_net,Property,complexity_x_self,0.23569153078654237,0.23569153078654237
elastic_net,Property,short_x_benefit,-0.23377796329595196,0.23377796329595196
elastic_net,Property,short_x_cognition,-0.21490670206970605,0.21490670206970605
elastic_net,Property,practice_x_attention,0.21445927512007834,0.21445927512007834
elastic_net,Property,away_x_caused,-0.21120324851292602,0.21120324851292602
elastic_net,Property,short_x_drive,-0.20828056628228456,0.20828056628228456
elastic_net,Property,practice_x_sad,0.20154422179682438,0.20154422179682438
elastic_net,Property,shape_x_benefit,-0.19525020915813604,0.19525020915813604
elastic_net,Property,human_x_surprised,-0.1914358900356684,0.1914358900356684
elastic_net,Property,near_x_unpleasant,-0.1843421670326323,0.1843421670326323
elastic_net,Property,touch_x_duration,0.18184617884668303,0.18184617884668303
elastic_net,Property,shape_x_texture,-0.1767481695021009,0.1767481695021009
elastic_net,Property,body_x_duration,0.17343197732671042,0.17343197732671042
elastic_net,Property,vision_x_self,0.16317311260201472,0.16317311260201472
elastic_net,Property,small_x_cognition,-0.15869260383964653,0.15869260383964653
elastic_net,Property,landmark_x_consequential,-0.156772942007264,0.156772942007264
elastic_net,Thing,practice_x_caused,-1.7735034709460373,1.7735034709460373
elastic_net,Thing,shape_x_benefit,0.6279896412207209,0.6279896412207209
elastic_net,Thing,practice_x_human,-0.5605280295457359,0.5605280295457359
elastic_net,Thing,shape_x_scene,0.5105117999244372,0.5105117999244372
elastic_net,Thing,small_x_drive,0.4994696509435159,0.4994696509435159
elastic_net,Thing,complexity_x_self,-0.4963190581161218,0.4963190581161218
elastic_net,Thing,practice_x_attention,-0.47810382382681565,0.47810382382681565
elastic_net,Thing,vision_x_benefit,0.4604710182770374,0.4604710182770374
elastic_net,Thing,upperlimb_x_benefit,0.39423074852973466,0.39423074852973466
elastic_net,Thing,practice_x_self,-0.3793099338865815,0.3793099338865815
elastic_net,Thing,practice,-0.37036359648504436,0.37036359648504436
elastic_net,Thing,short_x_social,0.35011816844319943,0.35011816844319943
elastic_net,Thing,short_x_drive,0.3397446665116678,0.3397446665116678
elastic_net,Thing,practice_x_duration,-0.3277710529105549,0.3277710529105549
elastic_net,Thing,practice_x_unpleasant,-0.32579791214374476,0.32579791214374476
elastic_net,Thing,practice_x_sad,-0.3042682080544643,0.3042682080544643
elastic_net,Thing,touch_x_duration,-0.268890948951197,0.268890948951197
elastic_net,Thing,vision_x_motion,0.26393632002460427,0.26393632002460427
elastic_net,Thing,short_x_benefit,0.258012751339505,0.258012751339505
elastic_net,Thing,color_x_weight,0.2562738871146067,0.2562738871146067
elastic_net,Thing,vision_x_near,0.2452995561184785,0.2452995561184785
elastic_net,Thing,body_x_duration,-0.23144502777736126,0.23144502777736126
elastic_net,Thing,near,0.21949005890772158,0.21949005890772158
elastic_net,Thing,consequential_x_self,0.19311206955444882,0.19311206955444882
elastic_net,Thing,small_x_cognition,0.1874442035424029,0.1874442035424029
elastic_net,Thing,body_x_social,0.18002654710813065,0.18002654710813065
elastic_net,Thing,body_x_short,-0.1792915367108517,0.1792915367108517
elastic_net,Thing,shape_x_happy,0.1792882757242098,0.1792882757242098
elastic_net,Thing,motion_x_scene,0.17761342744017922,0.17761342744017922
elastic_net,Thing,practice_x_cognition,-0.1757670650537322,0.1757670650537322
elastic_net,Action,short_x_human,1.3476504662693063,1.3476504662693063
elastic_net,Action,practice_x_human,0.4410103951289077,0.4410103951289077
elastic_net,Action,practice_x_self,0.3825514148190864,0.3825514148190864
elastic_net,Action,short_x_self,0.34587721796575427,0.34587721796575427
elastic_net,Action,path_x_consequential,0.3186363605078215,0.3186363605078215
elastic_net,Action,practice_x_short,0.3178006307406078,0.3178006307406078
elastic_net,Action,path_x_human,0.30123186655747347,0.30123186655747347
elastic_net,Action,path_x_cognition,0.28905791715556517,0.28905791715556517
elastic_net,Action,biomotion_x_path,0.25905232747662327,0.25905232747662327
elastic_net,Action,biomotion_x_short,0.24034929105255814,0.24034929105255814
elastic_net,Action,landmark_x_self,0.1823287781022267,0.1823287781022267
elastic_net,Action,human_x_surprised,0.1812892930509549,0.1812892930509549
elastic_net,Action,practice_x_long,0.17495205358834204,0.17495205358834204
elastic_net,Action,near_x_unpleasant,0.16988177802321341,0.16988177802321341
elastic_net,Action,time_x_human,-0.1668570505077902,0.1668570505077902
elastic_net,Action,path,0.15630628481752534,0.15630628481752534
